household_id,efficient_windows,energy_intensity_kwh_m2,floor_area_m2,building_age,year_built,housing_type,climate_zone,cold_climate,household_size,income_bin
100037,0,151.6394362484923,209.03175,35.0,1985.0,SF-Attached,Cold,1,2,14
100038,1,186.23372820236256,306.5799,65.0,1955.0,SF-Detached,Mixed-Humid,0,4,16
100039,1,40.83447001755629,157.9351,45.0,1975.0,SF-Attached,Cold,1,1,12
100040,1,76.37513798489542,181.16085,45.0,1975.0,SF-Detached,Cold,1,2,11
100041,0,160.11165120304784,185.806,5.0,2015.0,SF-Detached,Hot-Humid,0,4,16
100042,0,30.744921721274014,185.806,65.0,1955.0,SF-Detached,Hot-Humid,0,2,14
100043,0,296.4166569694617,72.46433999999999,45.0,1975.0,Mobile,Hot-Dry,0,2,9
100044,1,70.57718431790902,76.18046,75.0,1945.0,SF-Detached,Cold,1,2,13
100045,1,30.767547668417496,195.09629999999999,15.0,2005.0,SF-Detached,Cold,1,4,15
100046,0,205.34667292073598,139.3545,75.0,1945.0,SF-Detached,Hot-Dry,0,4,15
100047,1,299.4887943587874,120.7739,15.0,2005.0,SF-Attached,Mixed-Humid,0,3,14
100049,0,94.61406290810726,102.1933,25.0,1995.0,SF-Attached,Mixed-Humid,0,1,9
100050,0,41.72441268685467,260.1284,25.0,1995.0,SF-Detached,Hot-Dry,0,2,14
100051,0,161.3045670870487,348.38625,25.0,1995.0,SF-Detached,Cold,1,2,15
100053,1,133.81921303862345,130.0642,75.0,1945.0,SF-Attached,Mixed-Humid,0,2,15
100054,1,383.4991435584581,83.6127,45.0,1975.0,Mobile,Cold,1,2,11
100055,1,104.52263874055407,511.89553,25.0,1995.0,SF-Detached,Cold,1,2,15
100056,1,49.65858741532351,185.806,55.0,1965.0,SF-Detached,Mixed-Humid,0,2,9
100057,1,356.88305109953234,65.0321,5.0,2015.0,Apt-2to4,Mixed-Humid,0,3,14
100058,1,145.40523045039635,160.72219,45.0,1975.0,SF-Detached,Cold,1,2,15
100059,0,112.4607155126629,69.67725,25.0,1995.0,Apt-2to4,Mixed-Humid,0,2,5
100060,0,221.85693670930127,190.45115,35.0,1985.0,SF-Detached,Cold,1,1,9
100061,0,120.81886324872309,94.76106,15.0,2005.0,SF-Attached,Mixed-Humid,0,4,2
100062,1,65.14451482356063,91.04494,5.0,2015.0,Apt-5plus,Very-Cold,1,1,12
100063,1,92.1837783968672,192.30921,75.0,1945.0,SF-Detached,Hot-Dry,0,1,15
100064,1,124.1389943023049,204.3866,5.0,2015.0,Mobile,Mixed-Humid,0,3,6
100065,0,421.3318342505955,55.7418,45.0,1975.0,Mobile,Cold,1,2,1
100066,1,225.37097263269956,195.09629999999999,45.0,1975.0,SF-Detached,Hot-Humid,0,4,16
100067,1,218.64737195145514,167.2254,25.0,1995.0,SF-Detached,Cold,1,2,13
100068,0,133.6842955763512,185.806,55.0,1965.0,SF-Detached,Cold,1,2,12
100069,1,197.17317057780554,102.1933,25.0,1995.0,Apt-2to4,Cold,1,1,12
100070,1,104.84027294493406,143.99965,75.0,1945.0,SF-Attached,Mixed-Humid,0,2,7
100071,0,83.63964409959104,53.88374,55.0,1965.0,Apt-5plus,Cold,1,6,10
100072,1,65.58155983629788,106.83845,5.0,2015.0,Apt-5plus,Mixed-Humid,0,3,8
100073,1,108.65266968467861,237.83168,55.0,1965.0,SF-Detached,Marine,0,5,10
100074,0,126.90493136078975,125.41905,35.0,1985.0,SF-Detached,Hot-Humid,0,3,16
100075,0,263.48521417928976,256.41228,65.0,1955.0,SF-Detached,Mixed-Humid,0,2,11
100076,1,120.24006954644167,83.6127,35.0,1985.0,Apt-5plus,Mixed-Humid,0,1,11
100077,0,58.1823081208218,167.2254,15.0,2005.0,Apt-2to4,Hot-Humid,0,2,13
100078,1,211.96383961638918,83.6127,45.0,1975.0,Apt-5plus,Cold,1,4,9
100079,1,163.99403128290743,113.34166,45.0,1975.0,SF-Attached,Cold,1,2,10
100080,1,77.08966638019699,139.3545,45.0,1975.0,SF-Detached,Hot-Dry,0,1,15
100081,0,87.24202969978376,70.60628,45.0,1975.0,Apt-5plus,Very-Cold,1,1,4
100082,0,238.57858892381077,85.47076,45.0,1975.0,Mobile,Cold,1,1,3
100083,1,121.99536190779645,204.3866,65.0,1955.0,SF-Detached,Mixed-Humid,0,2,11
100084,0,414.33167017539387,62.24501,65.0,1955.0,SF-Detached,Cold,1,2,13
100085,1,136.77914613485282,236.90265,25.0,1995.0,SF-Detached,Cold,1,1,14
100086,0,227.4624191444884,104.98039,25.0,1995.0,SF-Detached,Hot-Dry,0,7,15
100087,1,96.90085913011055,182.08988,25.0,1995.0,Mobile,Mixed-Humid,0,2,3
100088,1,212.0821030866711,258.27034,65.0,1955.0,SF-Detached,Cold,1,1,6
100089,0,165.07119111831784,167.2254,75.0,1945.0,SF-Detached,Cold,1,2,9
100090,1,150.57642933356425,83.6127,75.0,1945.0,SF-Detached,Mixed-Humid,0,2,11
100091,1,286.0316671965289,130.0642,45.0,1975.0,Apt-5plus,Cold,1,7,13
100092,1,118.5111605749234,440.36021999999997,45.0,1975.0,SF-Detached,Cold,1,2,16
100094,0,85.92673462184173,139.3545,15.0,2005.0,SF-Detached,Mixed-Humid,0,2,1
100095,1,61.687392323978294,213.6769,35.0,1985.0,SF-Detached,Mixed-Humid,0,1,7
100096,0,126.5111913431481,167.2254,45.0,1975.0,SF-Detached,Cold,1,2,14
100097,1,65.6951787354055,133.78032,15.0,2005.0,SF-Detached,Hot-Humid,0,2,16
100098,0,197.12789976961315,222.9672,75.0,1945.0,SF-Detached,Mixed-Humid,0,5,9
100099,1,306.9495506150409,139.3545,25.0,1995.0,SF-Detached,Hot-Dry,0,2,7
100100,0,347.8554814561516,69.67725,45.0,1975.0,Apt-5plus,Cold,1,1,6
100101,1,102.48107349981846,294.50251,25.0,1995.0,SF-Detached,Cold,1,6,15
100102,1,100.22105776535453,422.70865,25.0,1995.0,SF-Detached,Mixed-Humid,0,2,13
100103,0,136.4351097934881,157.00607,75.0,1945.0,SF-Detached,Cold,1,2,9
100104,1,111.38584348997522,98.47718,25.0,1995.0,SF-Detached,Mixed-Humid,0,2,13
100105,1,165.01011368885264,246.19295,65.0,1955.0,SF-Detached,Cold,1,1,4
100106,1,92.72658351498679,306.5799,25.0,1995.0,SF-Detached,Cold,1,2,13
100107,1,73.66077112943137,591.79211,5.0,2015.0,SF-Detached,Cold,1,2,16
100108,1,162.17121904572224,181.16085,15.0,2005.0,SF-Detached,Mixed-Humid,0,4,15
100109,0,139.08892411470896,111.4836,25.0,1995.0,Apt-5plus,Hot-Humid,0,2,10
100110,1,84.23091378978206,106.83845,45.0,1975.0,Mobile,Marine,0,4,12
100111,1,150.73554312273743,79.89658,65.0,1955.0,SF-Attached,Mixed-Humid,0,4,1
100112,0,314.89035149228476,111.4836,75.0,1945.0,SF-Detached,Hot-Humid,0,4,11
100114,1,311.9309799048821,92.903,55.0,1965.0,SF-Detached,Cold,1,1,4
100115,1,167.16620987871204,143.99965,65.0,1955.0,SF-Detached,Marine,0,4,16
100116,1,158.73489191245966,130.0642,45.0,1975.0,SF-Detached,Cold,1,2,13
100117,0,177.70614471291728,72.46433999999999,55.0,1965.0,Apt-5plus,Mixed-Humid,0,1,15
100118,1,205.45968326520858,213.6769,65.0,1955.0,SF-Detached,Hot-Dry,0,5,10
100119,1,174.425196105871,325.1605,55.0,1965.0,SF-Detached,Mixed-Humid,0,4,16
100120,0,190.64999144064453,125.41905,45.0,1975.0,SF-Detached,Mixed-Humid,0,1,15
100121,0,108.45211953546138,203.45757,75.0,1945.0,SF-Detached,Cold,1,4,16
100122,1,172.96499825387954,380.9023,15.0,2005.0,SF-Detached,Cold,1,4,16
100123,0,121.91269135927006,65.96113,75.0,1945.0,Apt-5plus,Hot-Humid,0,4,1
100125,0,278.6990639369757,96.61912,65.0,1955.0,SF-Detached,Mixed-Humid,0,5,6
100126,1,172.38457773126876,176.5157,35.0,1985.0,SF-Detached,Cold,1,3,14
100127,1,191.61554819948088,252.69616,35.0,1985.0,SF-Detached,Cold,1,3,15
100128,1,193.1974243615391,244.33489,65.0,1955.0,SF-Detached,Cold,1,3,15
100129,1,116.95801866763769,200.67048,25.0,1995.0,SF-Attached,Mixed-Humid,0,1,14
100130,1,97.75574025001781,599.22435,45.0,1975.0,SF-Detached,Mixed-Humid,0,2,16
100131,0,199.5952412477352,123.56099,65.0,1955.0,SF-Detached,Cold,1,2,13
100132,1,361.36905118930304,102.1933,65.0,1955.0,SF-Detached,Mixed-Humid,0,3,9
100133,1,116.31420783862201,195.09629999999999,35.0,1985.0,SF-Detached,Marine,0,2,12
100134,1,63.72599129804312,64.10307,5.0,2015.0,Apt-5plus,Marine,0,1,12
100135,0,109.35589740795915,171.87055,35.0,1985.0,SF-Detached,Cold,1,1,9
100136,0,269.44205332066434,53.88374,15.0,2005.0,SF-Detached,Mixed-Humid,0,1,4
100137,1,79.1390796669177,390.19259999999997,5.0,2015.0,SF-Detached,Cold,1,4,16
100138,1,85.10883262044761,320.51535,35.0,1985.0,SF-Detached,Mixed-Humid,0,3,16
100139,0,100.80259462052395,280.56706,25.0,1995.0,SF-Detached,Mixed-Humid,0,4,12
100140,0,131.0390111020421,92.903,75.0,1945.0,SF-Detached,Hot-Humid,0,2,14
100141,1,68.81368677696203,232.2575,15.0,2005.0,SF-Detached,Cold,1,3,12
100142,0,137.1391606164779,102.1933,55.0,1965.0,Apt-5plus,Mixed-Humid,0,1,16
100145,1,37.10022618528344,200.67048,5.0,2015.0,SF-Attached,Mixed-Humid,0,1,12
100146,1,138.20437982104954,260.1284,15.0,2005.0,SF-Detached,Cold,1,1,8
100147,0,122.37949698190997,228.54138,75.0,1945.0,SF-Detached,Hot-Dry,0,3,15
100148,1,200.79309064733457,55.7418,35.0,1985.0,Apt-2to4,Mixed-Humid,0,1,9
100149,1,129.19563916934283,63.17404,65.0,1955.0,Apt-5plus,Mixed-Humid,0,1,14
100150,1,210.85969329564162,185.806,25.0,1995.0,SF-Detached,Hot-Dry,0,6,16
100151,1,187.57157389745134,213.6769,45.0,1975.0,SF-Detached,Cold,1,2,13
100153,1,168.28316559524723,169.08346,65.0,1955.0,SF-Attached,Cold,1,1,8
100155,1,207.05975094735956,130.0642,55.0,1965.0,SF-Detached,Cold,1,2,15
100156,0,166.06581332165268,196.95436,65.0,1955.0,SF-Detached,Cold,1,2,13
100157,1,123.18578015397544,79.89658,45.0,1975.0,Apt-5plus,Mixed-Humid,0,1,6
100158,1,135.25701672000102,390.19259999999997,15.0,2005.0,SF-Detached,Hot-Dry,0,2,16
100159,0,144.6630805138375,139.3545,75.0,1945.0,SF-Detached,Hot-Humid,0,1,5
100160,1,122.97270855751498,223.89623,55.0,1965.0,SF-Detached,Very-Cold,1,3,16
100161,1,149.28324878307228,196.02533,25.0,1995.0,SF-Attached,Cold,1,2,12
100162,0,75.6233168293974,98.47718,45.0,1975.0,SF-Detached,Hot-Humid,0,3,13
100163,1,90.96827550754806,197.88339,35.0,1985.0,SF-Attached,Mixed-Humid,0,1,11
100164,1,87.47903258085002,160.72219,25.0,1995.0,SF-Detached,Cold,1,1,13
100165,0,110.77893482043936,135.63838,65.0,1955.0,SF-Attached,Hot-Humid,0,7,16
100166,1,161.72253834379197,211.81884,15.0,2005.0,SF-Detached,Mixed-Humid,0,2,16
100167,0,126.88875592723466,436.6441,25.0,1995.0,SF-Detached,Cold,1,2,16
100168,1,461.35142943953076,111.4836,65.0,1955.0,Apt-2to4,Very-Cold,1,1,6
100169,1,63.94982314477852,89.18688,5.0,2015.0,Apt-5plus,Mixed-Humid,0,1,13
100170,1,122.42760934334227,74.3224,75.0,1945.0,Apt-5plus,Cold,1,6,13
100171,1,83.37215203918433,82.68367,55.0,1965.0,SF-Attached,Mixed-Humid,0,4,4
100172,1,95.06900190907494,148.6448,35.0,1985.0,SF-Detached,Mixed-Humid,0,4,11
100174,0,133.35641412640817,83.6127,45.0,1975.0,Apt-5plus,Marine,0,2,8
100175,0,165.52414762142482,120.7739,35.0,1985.0,SF-Detached,Hot-Humid,0,2,14
100176,1,206.52285263408788,139.3545,15.0,2005.0,SF-Detached,Cold,1,2,14
100177,1,112.86289465240372,167.2254,15.0,2005.0,SF-Detached,Mixed-Humid,0,3,14
100178,0,127.3661412925184,234.11556,45.0,1975.0,SF-Detached,Cold,1,2,8
100179,1,110.76041058579776,156.07704,25.0,1995.0,SF-Detached,Cold,1,2,13
100180,1,315.4323369633045,222.9672,35.0,1985.0,SF-Attached,Very-Cold,1,3,14
100181,1,86.07818062783342,113.34166,25.0,1995.0,SF-Detached,Marine,0,2,14
100182,1,120.61276273360072,287.9993,15.0,2005.0,SF-Detached,Hot-Humid,0,2,15
100183,0,67.22182462235413,169.08346,75.0,1945.0,SF-Attached,Mixed-Humid,0,2,15
100184,1,45.6412427816046,362.3217,25.0,1995.0,SF-Detached,Cold,1,2,15
100185,0,328.17090894351304,260.1284,35.0,1985.0,SF-Detached,Cold,1,2,15
100186,1,84.03057726809709,179.30279,75.0,1945.0,SF-Detached,Cold,1,3,15
100187,0,71.75487832560715,101.26427,75.0,1945.0,SF-Detached,Mixed-Humid,0,3,13
100188,1,184.59934683576265,211.81884,45.0,1975.0,SF-Detached,Cold,1,2,14
100189,1,106.55652266191397,204.3866,45.0,1975.0,SF-Detached,Cold,1,2,7
100190,1,236.06741707180885,102.1933,35.0,1985.0,Apt-2to4,Very-Cold,1,1,6
100191,1,176.82313610547249,232.2575,75.0,1945.0,SF-Detached,Cold,1,2,7
100192,0,173.83644678891116,69.67725,35.0,1985.0,Apt-5plus,Cold,1,1,11
100193,0,229.35859141194732,91.04494,45.0,1975.0,Mobile,Hot-Humid,0,2,3
100194,0,32.47654124740573,69.67725,45.0,1975.0,Apt-2to4,Mixed-Humid,0,1,2
100195,1,175.39484566786976,204.3866,55.0,1965.0,SF-Detached,Cold,1,4,14
100196,0,136.124240129807,47.38053,55.0,1965.0,Apt-5plus,Mixed-Humid,0,1,13
100197,0,107.17308049304991,62.24501,45.0,1975.0,Apt-5plus,Hot-Humid,0,1,10
100199,0,121.00080160923824,53.88374,45.0,1975.0,Apt-5plus,Hot-Humid,0,2,1
100200,0,169.7971278685133,78.03852,45.0,1975.0,SF-Detached,Mixed-Humid,0,2,4
100202,1,161.60646067695248,149.57383,55.0,1965.0,SF-Detached,Cold,1,1,6
100203,0,157.16685609141913,195.09629999999999,75.0,1945.0,SF-Detached,Mixed-Humid,0,3,15
100204,1,65.25964590213762,92.903,5.0,2015.0,Apt-5plus,Mixed-Humid,0,1,5
100205,1,114.3219080344237,88.25785,5.0,2015.0,Apt-5plus,Mixed-Humid,0,1,15
100206,1,188.81270885454794,204.3866,25.0,1995.0,SF-Detached,Mixed-Humid,0,2,16
100207,1,125.10612272947552,232.2575,65.0,1955.0,SF-Detached,Cold,1,2,15
100208,1,102.66500701881527,148.6448,15.0,2005.0,Mobile,Marine,0,2,1
100209,0,133.0475487420204,104.05136,15.0,2005.0,Apt-2to4,Mixed-Humid,0,2,12
100210,1,72.4507792950469,178.37376,35.0,1985.0,SF-Detached,Cold,1,2,6
100211,0,83.98677872328939,209.03175,45.0,1975.0,SF-Detached,Hot-Humid,0,3,11
100212,0,220.07338189669065,148.6448,75.0,1945.0,SF-Detached,Cold,1,3,13
100213,0,273.5869107879495,91.97397,45.0,1975.0,SF-Detached,Mixed-Dry,0,1,10
100214,0,181.0395867320782,171.87055,35.0,1985.0,SF-Detached,Cold,1,2,14
100215,1,144.9350488407454,197.88339,65.0,1955.0,SF-Detached,Cold,1,2,7
100216,0,91.6101036704054,78.96755,75.0,1945.0,Apt-2to4,Hot-Dry,0,1,4
100217,1,119.42102438040966,390.19259999999997,15.0,2005.0,SF-Detached,Cold,1,6,13
100218,0,81.40240756428659,241.5478,65.0,1955.0,SF-Detached,Cold,1,1,7
100219,1,108.4162846484243,92.903,25.0,1995.0,SF-Detached,Hot-Dry,0,4,14
100220,1,117.1206926692614,367.89588,45.0,1975.0,SF-Detached,Mixed-Humid,0,2,16
100221,1,146.88530120159118,110.55457,5.0,2015.0,Apt-5plus,Cold,1,3,15
100222,1,102.14003519268549,422.70865,75.0,1945.0,SF-Detached,Cold,1,3,16
100223,0,106.7935367891322,141.21256,35.0,1985.0,SF-Detached,Hot-Dry,0,3,9
100224,1,313.74377501116436,148.6448,75.0,1945.0,SF-Detached,Cold,1,3,13
100225,1,108.32387477176903,445.9344,45.0,1975.0,SF-Detached,Hot-Humid,0,2,13
100227,0,130.83952161215439,167.2254,75.0,1945.0,SF-Detached,Cold,1,2,13
100228,1,207.7524953327698,124.49002,15.0,2005.0,SF-Detached,Mixed-Humid,0,2,14
100229,1,159.04788017544462,139.3545,25.0,1995.0,SF-Detached,Hot-Humid,0,1,14
100230,0,205.8250341651823,146.78674,75.0,1945.0,SF-Detached,Cold,1,1,8
100231,1,165.68128076034154,111.4836,55.0,1965.0,SF-Detached,Mixed-Humid,0,3,13
100232,1,81.05793352488806,445.9344,15.0,2005.0,SF-Detached,Mixed-Humid,0,4,15
100233,1,145.33009980490195,247.12198,35.0,1985.0,SF-Detached,Cold,1,4,14
100234,1,149.18896427445154,173.72861,55.0,1965.0,SF-Detached,Cold,1,3,15
100235,1,135.52187292101144,176.5157,45.0,1975.0,SF-Detached,Marine,0,3,8
100236,0,23.133605609436472,108.69651,25.0,1995.0,Apt-5plus,Cold,1,3,2
100237,1,234.26553614247513,255.48325,65.0,1955.0,SF-Detached,Mixed-Humid,0,3,16
100238,1,94.11876454209347,194.16727,55.0,1965.0,SF-Detached,Marine,0,2,13
100239,0,131.43570475400008,167.2254,25.0,1995.0,Mobile,Cold,1,6,11
100240,1,127.60715725185473,195.09629999999999,35.0,1985.0,SF-Detached,Mixed-Humid,0,2,13
100241,1,252.85132971582303,150.50286,55.0,1965.0,SF-Detached,Cold,1,5,11
100242,1,45.96263924987385,69.67725,5.0,2015.0,Apt-5plus,Marine,0,1,9
100243,0,204.82444513686266,125.41905,65.0,1955.0,SF-Detached,Cold,1,2,14
100244,0,144.05166944760035,133.78032,45.0,1975.0,SF-Detached,Hot-Humid,0,1,14
100245,0,499.4646019469537,86.39979,55.0,1965.0,SF-Detached,Mixed-Humid,0,1,13
100246,1,135.32021524757192,278.709,45.0,1975.0,SF-Detached,Cold,1,4,16
100248,0,93.63505321620205,195.09629999999999,25.0,1995.0,Apt-5plus,Marine,0,3,12
100249,1,190.50376317462687,69.67725,65.0,1955.0,Apt-5plus,Mixed-Humid,0,2,16
100250,0,152.44179985416625,108.69651,15.0,2005.0,SF-Detached,Hot-Humid,0,5,12
100251,1,133.4850008598819,318.65729,55.0,1965.0,SF-Detached,Cold,1,1,4
100252,1,85.50955126860484,103.12233,45.0,1975.0,Apt-2to4,Mixed-Humid,0,2,7
100253,1,80.98032066389945,297.2896,55.0,1965.0,SF-Detached,Cold,1,3,13
100254,1,116.55224445954589,55.7418,55.0,1965.0,Apt-2to4,Cold,1,1,6
100255,1,68.57856518726278,233.18653,35.0,1985.0,SF-Attached,Mixed-Humid,0,2,14
100256,0,244.05451633378144,94.76106,65.0,1955.0,SF-Attached,Hot-Dry,0,1,11
100257,1,100.7764795696625,314.01214,75.0,1945.0,SF-Attached,Mixed-Humid,0,4,14
100258,0,255.46415701162115,128.20614,55.0,1965.0,SF-Detached,Cold,1,3,7
100259,1,70.18108533676877,153.28995,45.0,1975.0,SF-Detached,Marine,0,2,10
100260,1,83.42158771114092,301.93475,25.0,1995.0,SF-Detached,Hot-Humid,0,7,13
100261,0,45.86237096984853,204.3866,55.0,1965.0,SF-Detached,Mixed-Humid,0,2,8
100263,1,220.44440068079106,106.83845,65.0,1955.0,SF-Detached,Hot-Dry,0,4,13
100264,1,150.44302507476806,334.4508,35.0,1985.0,SF-Detached,Cold,1,2,9
100265,1,341.82031179045947,153.28995,65.0,1955.0,SF-Detached,Cold,1,3,13
100266,1,147.810636879587,117.05778,25.0,1995.0,SF-Detached,Mixed-Humid,0,2,15
100267,1,43.89448149161335,157.9351,55.0,1965.0,SF-Detached,Mixed-Humid,0,1,6
100268,1,79.16732874344959,157.9351,35.0,1985.0,SF-Attached,Mixed-Humid,0,2,16
100269,1,255.9365331742543,92.903,15.0,2005.0,Apt-2to4,Cold,1,2,13
100270,1,78.78848245029725,140.28353,25.0,1995.0,SF-Detached,Cold,1,2,13
100271,1,131.96543988648872,334.4508,75.0,1945.0,SF-Detached,Mixed-Humid,0,4,16
100272,1,138.55149882961769,249.90906999999999,65.0,1955.0,SF-Detached,Cold,1,3,16
100273,0,127.55749668198865,79.89658,35.0,1985.0,Mobile,Hot-Dry,0,1,4
100274,1,158.26401731212746,227.61235,15.0,2005.0,SF-Detached,Mixed-Humid,0,2,16
100275,1,179.7574192098697,92.903,25.0,1995.0,Apt-5plus,Mixed-Humid,0,2,13
100276,1,85.73907198303036,165.36734,15.0,2005.0,SF-Detached,Hot-Dry,0,2,14
100278,0,78.49119084838874,60.38695,75.0,1945.0,Apt-5plus,Marine,0,1,14
100279,1,86.54136558330381,106.83845,25.0,1995.0,Apt-5plus,Mixed-Humid,0,2,15
100280,0,212.49612471204847,83.6127,35.0,1985.0,Apt-2to4,Cold,1,3,1
100281,1,361.68664468099445,111.4836,65.0,1955.0,SF-Detached,Cold,1,2,15
100283,1,140.63373860096138,224.82526,45.0,1975.0,SF-Detached,Cold,1,2,15
100284,1,101.93331067814964,322.37341,65.0,1955.0,SF-Detached,Mixed-Humid,0,2,11
100285,1,78.93316218522547,70.60628,45.0,1975.0,Apt-5plus,Cold,1,1,7
100286,0,256.9420986155715,228.54138,45.0,1975.0,SF-Detached,Cold,1,4,10
100287,1,118.85362779944317,227.61235,15.0,2005.0,SF-Detached,Cold,1,2,13
100288,1,135.3838959773094,92.903,55.0,1965.0,SF-Detached,Hot-Dry,0,2,12
100289,0,65.05519368569433,390.19259999999997,65.0,1955.0,SF-Detached,Hot-Humid,0,2,11
100290,0,233.09135330496562,171.87055,45.0,1975.0,SF-Detached,Mixed-Dry,0,4,9
100291,1,106.36456205578816,163.50928,15.0,2005.0,SF-Detached,Hot-Humid,0,2,6
100292,1,65.11306717014313,244.33489,75.0,1945.0,SF-Detached,Marine,0,4,14
100293,0,152.87185185065465,83.6127,35.0,1985.0,Apt-5plus,Hot-Dry,0,5,10
100294,1,217.83984784478926,453.36664,35.0,1985.0,SF-Detached,Hot-Humid,0,2,16
100295,1,153.84663296079884,250.8381,35.0,1985.0,SF-Detached,Marine,0,5,15
100296,0,168.72035991522387,156.07704,15.0,2005.0,Mobile,Mixed-Humid,0,3,1
100297,1,165.47945248980002,74.3224,25.0,1995.0,Apt-5plus,Hot-Humid,0,3,13
100298,1,141.60929719724922,92.903,25.0,1995.0,Apt-5plus,Cold,1,1,4
100300,1,120.64483483439751,110.55457,35.0,1985.0,SF-Attached,Hot-Dry,0,1,12
100301,1,390.02474806719056,45.52247,75.0,1945.0,SF-Detached,Marine,0,1,7
100302,1,283.86691170769075,174.65764,45.0,1975.0,SF-Detached,Cold,1,3,13
100303,0,109.40143268787571,185.806,35.0,1985.0,SF-Attached,Mixed-Humid,0,1,16
100304,1,109.53816975328122,279.63803,15.0,2005.0,SF-Detached,Hot-Humid,0,2,14
100305,1,172.68819000872298,204.3866,35.0,1985.0,SF-Detached,Very-Cold,1,2,14
100306,1,102.45601049760819,390.19259999999997,45.0,1975.0,SF-Detached,Cold,1,2,16
100307,1,179.3678881179278,203.45757,45.0,1975.0,SF-Attached,Cold,1,3,12
100308,1,166.80203952156631,92.903,75.0,1945.0,Apt-2to4,Cold,1,2,13
100309,1,246.72353282060035,60.38695,35.0,1985.0,Apt-5plus,Mixed-Humid,0,3,7
100310,1,107.55179981467596,278.709,65.0,1955.0,SF-Detached,Cold,1,2,8
100311,0,123.92494048786014,178.37376,75.0,1945.0,SF-Detached,Cold,1,1,7
100312,0,187.47510093851133,69.67725,65.0,1955.0,Apt-5plus,Mixed-Humid,0,2,3
100313,1,310.83409615965286,37.1612,35.0,1985.0,Mobile,Hot-Dry,0,2,7
100314,0,148.1896713167902,130.0642,15.0,2005.0,SF-Detached,Hot-Dry,0,1,11
100315,1,88.45716454882076,232.2575,35.0,1985.0,SF-Detached,Mixed-Humid,0,2,14
100316,1,217.25579231911405,106.83845,55.0,1965.0,SF-Detached,Hot-Dry,0,2,12
